"linear.normalized-chnl10_15_pb.cnf.cr.opb",1,4,50,300,1,0
"linear.normalized-2_5_3.opb",2,5,114,30,0.278369,0.111702
"linear.normalized-compression16_7.opb",3,7,2562,552,0.514982,0.39663
"linear.normalized-mps-v2-20-10-bal8x12.opb",7,9,136,2976,0.99091,0.0116509
"linear.normalized-vertexcover-grid6x11-hard.opb",3,7,133,66,0.986667,0.0188562
"linear.normalized-factor-size=9-P=97-Q=509.opb",3,7,245,99,0.499962,0.405767
"linear.normalized-j3020_1-sat.opb",1,8,11581,3596,0.816623,0
"linear.normalized-rand59f7dd.cudf.paranoid.opb",1,6,19676,6360,0.521418,0
"linear.factor-mod-size=6-P0=53-P1=53-P2=41-P3=41-P4=41-P5=53-P6=41-P7=47-P8=17-B.opb",5,8,601,432,0.877626,0.150876
"linear.normalized-minisat70_4_22_8.opb",2,7,24512,9940,0.786412,0.213588
"linear.normalized-regular-n18-d4-i2.cnf.gz-plain.pb.metafix.opb",3,7,156,73,0.67184,0.236077
"linear.normalized-reduced-prob7.opb",1,3,2,96,0.989691,0
"linear.normalized-3_5_7.opb",2,5,469,110,0.228204,0.133865
"linear.normalized-t2001.13queen13.1110976935.opb",2,7,101,169,0.817233,0.159646
"linear.normalized-t3002.11tsp11.1900546417.opb",1,6,2707,231,0.913043,0
"linear.normalized-t2001.13queen13.1110975678.opb",2,7,101,169,0.817233,0.159646
"linear.normalized-factor-size=9-P=449-Q=479.opb",3,6,245,99,0.50101,0.405754
"linear.normalized-t3002.11tsp11.1900571132.opb",1,6,2707,231,0.913043,0
"linear.normalized-dbsg_500_10_5_80.opb",2,6,14043,7270,0.729143,0.197002
"linear.normalized-rand362510.cudf.trendy.opb",3,9,29537,7206,0.835257,0.232982
"linear.normalized-regular-n16-d4-i2.cnf.gz-plain.pb.metafix.opb",3,7,140,65,0.670763,0.23883
"linear.normalized-reduced-prob6.opb",1,3,2,93,0.989362,0
"linear.normalized-factor-size=9-P=131-Q=137.opb",3,6,245,99,0.495071,0.402407
"linear.factor-mod-size=6-P0=11-P1=2-P2=41-P3=47-P4=37-P5=17-P6=41-P7=43-P8=59-B.opb",4,7,601,432,0.848363,0.153119
"linear.normalized-par16-2.opb",2,6,4389,2030,0.731431,0.268569
"linear.normalized-ash608gpia-3col.opb",2,6,25964,3651,0.243371,0.00662888
"linear.normalized-frb40-19-3.opb",3,6,41095,760,1,0
"linear.normalized-m100_100_10_30.r.opb",3,5,100,100,0.833333,0.235702
"linear.normalized-regular-n23-d4-i2.cnf.gz-plain.pb.metafix.opb",3,7,196,93,0.677069,0.231755
"linear.normalized-g100x100.opb",3,7,10000,10000,0.833367,0.235655
"linear.normalized-bogr_14.opb",5,9,6384,3296,0.567246,0.331235
"linear.factor-mod-size=6-P0=67-P1=47-P2=2-P3=53-P4=23-P5=7-P6=41-P7=31-B.opb",4,7,526,378,0.85524,0.145139
"linear.normalized-factor-size=9-P=131-Q=163.opb",3,6,245,99,0.495071,0.402407
"linear.normalized-subsetcard-eq-random4regular-20.opb",1,3,80,81,0.669421,0
"linear.normalized-j3031_7-sat.opb",1,8,12376,3844,0.816136,0
"linear.normalized-sha1-size112-round22-7.opb",4,8,9952,4128,0.219284,0.258082
"linear.normalized-mis_500_25_3.opb",1,6,16722,8361,0.666667,0
"linear.rpoc_xits_17_SAT.opb",1,7,215000,2718,0.578852,0
"linear.normalized-single-obj-f58-fob_fxl_loss.seq-B-2-2-irEDCBA.opb",3,8,36267,14442,0.419206,0.374466
